day,tip_percentange,day_rank
2022-01-09,45.78674775487207,1
2022-01-31,43.93563580770273,2
2022-01-01,29.07803686136836,3
2022-01-29,24.059518454370057,4
2022-01-16,23.377299918220096,5
2022-02-21,25.981657452766274,1
2022-02-13,24.572068389402546,2
2022-02-09,23.904535643412483,3
2022-02-10,23.33961589934868,4
2022-02-27,23.3006799515465,5
2022-03-18,29.671341612659685,1
2022-03-21,27.57992602492248,2
2022-03-26,22.70884595372165,3
2022-03-05,22.55546137249565,4
2022-03-12,22.100859110808635,5
2022-04-12,48.36884410450339,1
2022-04-02,31.175092883998968,2
2022-04-21,30.44861250236277,3
2022-04-03,24.46372770475391,4
2022-04-30,21.99676965994668,5
2022-05-12,32.402658973198044,1
2022-05-20,26.034036090366385,2
2022-05-16,23.659110789279985,3
2022-05-15,22.05244524700949,4
2022-05-06,21.832006161884486,5
2022-06-13,38.45136993724611,1
2022-06-25,32.91307329265353,2
2022-06-10,27.397637812780694,3
2022-06-16,25.534975757875227,4
2022-06-20,24.242914593519107,5
